Respondente;Pergunta1;Pergunta2;Pergunta3;Pergunta4;Pergunta5;Pergunta6;Pergunta7;Pergunta8;Pergunta9;Pergunta10;Pergunta11;Pergunta12;Pergunta13;Pergunta14;Pergunta15;Pergunta16;Pergunta17;Carimbo de data/hora
Pessoa1;Concordo totalmente;Não;Sim;Teletrabalho (home-Office);Presencial;Sim;Sim;Sim;Sim;Sim  após a pandemia adotou-se a prática de QF remotas.;Sim;Sim;Concordo totalmente;Sim  no entanto já adotava antes da pandemia;Sim  no entanto já adotava antes da pandemia;Sim  passou a adotar após a pandemia.;"Redução de custos básicos como energia  limpeza  manutenção do escritório  entre outros;Diminuição de custos com vale transporte  estacionamento  entre outros;Redução de custos de aluguel do escritório  condomínio  entre outros";2022/05/26 9:12:25 PM GMT-3
Pessoa2;Concordo totalmente;Não;Sim;Teletrabalho (home-Office);Teletrabalho (home-Office);Sim;Sim;Sim;Sim;Sim  no entanto já eram realizadas QF remotamente antes da pandemia;Sim;Sim;Concordo totalmente;Sim  no entanto já adotava antes da pandemia;Sim  no entanto já adotava antes da pandemia;Sim  passou a adotar após a pandemia.;"Aumento de produtividade;Redução de custos básicos como energia  limpeza  manutenção do escritório  entre outros;Flexibilidade dos funcionários;Redução do tempo de deslocamento e diminuição de riscos nesse trajeto";2022/05/26 9:41:55 PM GMT-3
Pessoa3;Concordo totalmente;Não;Sim;Presencial;Presencial;Não;Sim;Não sei informar;Sim;Sim  no entanto já eram realizadas QF remotamente antes da pandemia;Sim;Sim;Concordo totalmente;Sim  passou a adotar após a pandemia.;Sim  no entanto já adotava antes da pandemia;Sim  passou a adotar após a pandemia.;Aumento de produtividade;2022/05/27 8:11:40 PM GMT-3
Pessoa4;Concordo;Não;Sim;Presencial;Presencial;Não;Não;Não sei informar;Não sei informar;Sim  após a pandemia adotou-se a prática de QF remotas.;Sim;Não sei informar;Não concordo  nem discordo;Não;Sim  no entanto já adotava antes da pandemia;Não;;2022/05/27 8:26:53 PM GMT-3
Pessoa5;Concordo;Não;Sim;Presencial;Presencial;Sim;Sim;Não sei informar;Sim;Sim  após a pandemia adotou-se a prática de QF remotas.;Sim;Sim;Concordo;Não;Sim  no entanto já adotava antes da pandemia;Sim  passou a adotar após a pandemia.;"Aumento de produtividade;Redução de custos básicos como energia  limpeza  manutenção do escritório  entre outros;Diminuição de custos com vale transporte  estacionamento  entre outros;Redução de custos de aluguel do escritório  condomínio  entre outros;Flexibilidade dos funcionários;Benefício para o trabalhador optar por essa modalidade;Redução do tempo de deslocamento e diminuição de riscos nesse trajeto;Jornada flexível com base no equilíbrio pessoal e profissional";2022/05/27 8:38:53 PM GMT-3
Pessoa6;Concordo;Sim;Sim;Híbrido (Combinação entre teletrabalho e presencial);Híbrido (Combinação entre teletrabalho e presencial);Sim;Sim;Sim;Sim;Não sei informar;Sim;Sim;Concordo totalmente;Sim  no entanto já adotava antes da pandemia;Sim  no entanto já adotava antes da pandemia;Sim  no entanto já adotava antes da pandemia;"Aumento de produtividade;Flexibilidade dos funcionários;Maior engajamento com a empresa;Benefício para o trabalhador optar por essa modalidade;Redução do tempo de deslocamento e diminuição de riscos nesse trajeto;Retenção de colaboradores e atração de talentos;Jornada flexível com base no equilíbrio pessoal e profissional;Aumento da motivação dos funcionários";2022/05/27 8:49:07 PM GMT-3
Pessoa7;Concordo;Sim;Sim;Presencial;Presencial;Sim;Sim;Não sei informar;Sim;Não sei informar;Sim;Sim;Não concordo  nem discordo;Sim  no entanto já adotava antes da pandemia;Não sei informar;Sim  no entanto já adotava antes da pandemia;"Redução de custos básicos como energia  limpeza  manutenção do escritório  entre outros;Diminuição de custos com vale transporte  estacionamento  entre outros;Redução de custos de aluguel do escritório  condomínio  entre outros;Flexibilidade dos funcionários;Redução do tempo de deslocamento e diminuição de riscos nesse trajeto";2022/05/27 8:58:05 PM GMT-3
Pessoa8;Concordo totalmente;Não;Sim;Presencial;Presencial;Sim;Sim;Não sei informar;Sim;Sim  após a pandemia adotou-se a prática de QF remotas.;Sim;Sim;Concordo;Sim  passou a adotar após a pandemia.;Sim  no entanto já adotava antes da pandemia;Sim  passou a adotar após a pandemia.;"Aumento de produtividade;Redução de custos básicos como energia  limpeza  manutenção do escritório  entre outros;Diminuição de custos com vale transporte  estacionamento  entre outros;Redução de custos de aluguel do escritório  condomínio  entre outros;Flexibilidade dos funcionários;Maior engajamento com a empresa;Benefício para o trabalhador optar por essa modalidade;Redução do tempo de deslocamento e diminuição de riscos nesse trajeto;Retenção de colaboradores e atração de talentos;Jornada flexível com base no equilíbrio pessoal e profissional;Acompanhamento da tendência de mercado para estar em linha com as outras empresas;Aumento da motivação dos funcionários";2022/05/27 9:02:15 PM GMT-3
Pessoa9;Concordo totalmente;Não;Sim;Teletrabalho (home-Office);Teletrabalho (home-Office);Sim;Sim;Sim;Sim;Não sei informar;Sim;Sim;Concordo totalmente;Sim  passou a adotar após a pandemia.;Sim  passou a adotar após a pandemia.;Sim  no entanto já adotava antes da pandemia;"Aumento de produtividade;Redução de custos básicos como energia  limpeza  manutenção do escritório  entre outros;Flexibilidade dos funcionários;Maior engajamento com a empresa;Benefício para o trabalhador optar por essa modalidade;Redução do tempo de deslocamento e diminuição de riscos nesse trajeto;Retenção de colaboradores e atração de talentos;Jornada flexível com base no equilíbrio pessoal e profissional;Acompanhamento da tendência de mercado para estar em linha com as outras empresas;Aumento da motivação dos funcionários";2022/05/27 9:10:36 PM GMT-3
Pessoa10;Concordo totalmente;Não;Sim;Teletrabalho (home-Office);Híbrido (Combinação entre teletrabalho e presencial);Sim;Sim;Não sei informar;Sim;Não sei informar;Sim;Sim;Concordo;Sim  no entanto já adotava antes da pandemia;Não sei informar;Sim  passou a adotar após a pandemia.;"Aumento de produtividade;Redução de custos básicos como energia  limpeza  manutenção do escritório  entre outros;Diminuição de custos com vale transporte  estacionamento  entre outros;Flexibilidade dos funcionários;Benefício para o trabalhador optar por essa modalidade;Redução do tempo de deslocamento e diminuição de riscos nesse trajeto;Retenção de colaboradores e atração de talentos;Jornada flexível com base no equilíbrio pessoal e profissional;Aumento da motivação dos funcionários";2022/05/27 9:18:03 PM GMT-3
Pessoa11;Concordo totalmente;Não;Sim;Presencial;Presencial;Não;Sim;Sim;Sim;Sim  após a pandemia adotou-se a prática de QF remotas.;Sim;Sim;Concordo totalmente;Sim  passou a adotar após a pandemia.;Sim  no entanto já adotava antes da pandemia;Sim  passou a adotar após a pandemia.;"Aumento de produtividade;Redução de custos básicos como energia  limpeza  manutenção do escritório  entre outros;Diminuição de custos com vale transporte  estacionamento  entre outros;Redução de custos de aluguel do escritório  condomínio  entre outros;Flexibilidade dos funcionários;Redução do tempo de deslocamento e diminuição de riscos nesse trajeto;Jornada flexível com base no equilíbrio pessoal e profissional";2022/05/27 9:49:07 PM GMT-3
Pessoa12;Concordo totalmente;Não;Sim;Teletrabalho (home-Office);Híbrido (Combinação entre teletrabalho e presencial);Sim;Sim;Não sei informar;Sim;Sim  após a pandemia adotou-se a prática de QF remotas.;Sim;Sim;Concordo;Sim  no entanto já adotava antes da pandemia;Sim  no entanto já adotava antes da pandemia;Sim  passou a adotar após a pandemia.;"Aumento de produtividade;Flexibilidade dos funcionários;Benefício para o trabalhador optar por essa modalidade;Redução do tempo de deslocamento e diminuição de riscos nesse trajeto";2022/05/27 10:09:11 PM GMT-3
Pessoa13;Não concordo  nem discordo;Sim;Sim;Presencial;Presencial;Sim;Sim;Não sei informar;Sim;Não sei informar;Não;Sim;Concordo;Sim  passou a adotar após a pandemia.;Sim  no entanto já adotava antes da pandemia;Sim  no entanto já adotava antes da pandemia;"Aumento de produtividade;Redução de custos básicos como energia  limpeza  manutenção do escritório  entre outros;Flexibilidade dos funcionários;Benefício para o trabalhador optar por essa modalidade;Redução do tempo de deslocamento e diminuição de riscos nesse trajeto;Jornada flexível com base no equilíbrio pessoal e profissional";2022/05/27 10:20:49 PM GMT-3
Pessoa14;Concordo totalmente;Não;Sim;Presencial;Presencial;Não;Sim;Não sei informar;;Não sei informar;Sim;Sim;Concordo;Não sei informar;Não sei informar;Sim  passou a adotar após a pandemia.;"Aumento de produtividade;Redução de custos básicos como energia  limpeza  manutenção do escritório  entre outros;Diminuição de custos com vale transporte  estacionamento  entre outros;Redução de custos de aluguel do escritório  condomínio  entre outros;Flexibilidade dos funcionários;Maior engajamento com a empresa;Benefício para o trabalhador optar por essa modalidade";2022/05/27 10:45:17 PM GMT-3
Pessoa15;Concordo totalmente;Não;Sim;Teletrabalho (home-Office);Híbrido (Combinação entre teletrabalho e presencial);;;Sim;Sim;Sim  após a pandemia adotou-se a prática de QF remotas.;Sim;Sim;Concordo;Sim  passou a adotar após a pandemia.;Não sei informar;Sim  passou a adotar após a pandemia.;"Aumento de produtividade;Redução de custos básicos como energia  limpeza  manutenção do escritório  entre outros;Benefício para o trabalhador optar por essa modalidade;Redução do tempo de deslocamento e diminuição de riscos nesse trajeto;Retenção de colaboradores e atração de talentos;Aumento da motivação dos funcionários";2022/05/27 11:07:27 PM GMT-3
Pessoa16;Concordo;Não;Sim;Híbrido (Combinação entre teletrabalho e presencial);Híbrido (Combinação entre teletrabalho e presencial);Sim;Sim;Não sei informar;Sim;Sim  no entanto já eram realizadas QF remotamente antes da pandemia;Não;Sim;Concordo;Sim  no entanto já adotava antes da pandemia;Sim  no entanto já adotava antes da pandemia;Sim  passou a adotar após a pandemia.;"Redução de custos básicos como energia  limpeza  manutenção do escritório  entre outros;Diminuição de custos com vale transporte  estacionamento  entre outros;Flexibilidade dos funcionários;Maior engajamento com a empresa;Benefício para o trabalhador optar por essa modalidade;Redução do tempo de deslocamento e diminuição de riscos nesse trajeto;Retenção de colaboradores e atração de talentos;Jornada flexível com base no equilíbrio pessoal e profissional;Acompanhamento da tendência de mercado para estar em linha com as outras empresas;Aumento da motivação dos funcionários";2022/05/28 12:23:22 AM GMT-3
Pessoa17;Concordo totalmente;Não;Sim;Presencial;Presencial;;;Sim;Sim;;Sim;Sim;Concordo totalmente;Sim  no entanto já adotava antes da pandemia;Sim  no entanto já adotava antes da pandemia;Sim  passou a adotar após a pandemia.;Todas as alternativas estão corretas.;2022/05/28 12:33:26 AM GMT-3
Pessoa18;Concordo totalmente;Não;Sim;Híbrido (Combinação entre teletrabalho e presencial);Presencial;Sim;Sim;Sim;Sim;Sim  após a pandemia adotou-se a prática de QF remotas.;Sim;Sim;Concordo totalmente;Sim  passou a adotar após a pandemia.;Sim  no entanto já adotava antes da pandemia;Sim  passou a adotar após a pandemia.;"Aumento de produtividade;Redução de custos básicos como energia  limpeza  manutenção do escritório  entre outros;Flexibilidade dos funcionários;Redução do tempo de deslocamento e diminuição de riscos nesse trajeto;Jornada flexível com base no equilíbrio pessoal e profissional";2022/05/28 2:51:58 AM GMT-3
Pessoa19;Concordo;Não;Sim;Presencial;Presencial;Sim;Sim;Sim;Sim;Não sei informar;Sim;Não sei informar;Concordo;Sim  passou a adotar após a pandemia.;Não sei informar;Sim  passou a adotar após a pandemia.;"Diminuição de custos com vale transporte  estacionamento  entre outros;Benefício para o trabalhador optar por essa modalidade";2022/05/28 7:52:08 AM GMT-3
Pessoa20;Concordo totalmente;Não;Sim;Híbrido (Combinação entre teletrabalho e presencial);Híbrido (Combinação entre teletrabalho e presencial);Sim;Sim;Sim;Sim;Não sei informar;Sim;Sim;Concordo;Sim  passou a adotar após a pandemia.;Não sei informar;Não;;2022/05/28 8:26:43 AM GMT-3
Pessoa21;Concordo;Não;Sim;Teletrabalho (home-Office);Híbrido (Combinação entre teletrabalho e presencial);Sim;Sim;Sim;Sim;Não sei informar;Sim;Sim;Concordo;Não sei informar;Não sei informar;Sim  passou a adotar após a pandemia.;"Aumento de produtividade;Redução de custos básicos como energia  limpeza  manutenção do escritório  entre outros;Diminuição de custos com vale transporte  estacionamento  entre outros;Flexibilidade dos funcionários;Maior engajamento com a empresa;Benefício para o trabalhador optar por essa modalidade;Redução do tempo de deslocamento e diminuição de riscos nesse trajeto;Retenção de colaboradores e atração de talentos;Jornada flexível com base no equilíbrio pessoal e profissional;Acompanhamento da tendência de mercado para estar em linha com as outras empresas;Aumento da motivação dos funcionários";2022/05/28 10:01:38 AM GMT-3
Pessoa22;Concordo totalmente;Não;Sim;Híbrido (Combinação entre teletrabalho e presencial);Híbrido (Combinação entre teletrabalho e presencial);Sim;Sim;Sim;Sim;Sim  após a pandemia adotou-se a prática de QF remotas.;Não;Sim;Concordo totalmente;Sim  no entanto já adotava antes da pandemia;Sim  passou a adotar após a pandemia.;Sim  passou a adotar após a pandemia.;Aumento de produtividade;2022/05/28 10:59:11 AM GMT-3
Pessoa23;Concordo totalmente;Não;Sim;Teletrabalho (home-Office);Teletrabalho (home-Office);Sim;Sim;Não sei informar;Não sei informar;Não sei informar;Sim;Sim;Concordo;Sim  no entanto já adotava antes da pandemia;Sim  no entanto já adotava antes da pandemia;Sim  passou a adotar após a pandemia.;"Aumento de produtividade;Redução de custos básicos como energia  limpeza  manutenção do escritório  entre outros;Diminuição de custos com vale transporte  estacionamento  entre outros;Redução de custos de aluguel do escritório  condomínio  entre outros;Flexibilidade dos funcionários;Benefício para o trabalhador optar por essa modalidade;Redução do tempo de deslocamento e diminuição de riscos nesse trajeto;Retenção de colaboradores e atração de talentos;Jornada flexível com base no equilíbrio pessoal e profissional";2022/05/28 11:19:43 AM GMT-3
Pessoa24;Concordo;Não;Sim;Híbrido (Combinação entre teletrabalho e presencial);Híbrido (Combinação entre teletrabalho e presencial);Não;Sim;Sim;Sim;Não sei informar;Sim;Sim;Concordo;Sim  no entanto já adotava antes da pandemia;Não sei informar;Não;Aumento da motivação dos funcionários;2022/05/28 11:53:49 AM GMT-3
Pessoa25;Concordo totalmente;Não;Sim;Teletrabalho (home-Office);Híbrido (Combinação entre teletrabalho e presencial);Sim;Sim;Sim;Sim;Sim  após a pandemia adotou-se a prática de QF remotas.;Sim;Sim;Concordo totalmente;Sim  passou a adotar após a pandemia.;Sim  no entanto já adotava antes da pandemia;Sim  passou a adotar após a pandemia.;"Aumento de produtividade;Flexibilidade dos funcionários;Benefício para o trabalhador optar por essa modalidade;Aumento da motivação dos funcionários";2022/05/28 12:36:22 PM GMT-3
Pessoa26;Concordo totalmente;Não;Sim;Teletrabalho (home-Office);Híbrido (Combinação entre teletrabalho e presencial);Sim;Sim;Sim;Sim;Não sei informar;Sim;Sim;Concordo;Não;Não;Sim  passou a adotar após a pandemia.;"Flexibilidade dos funcionários;Acompanhamento da tendência de mercado para estar em linha com as outras empresas";2022/05/28 1:46:35 PM GMT-3
Pessoa27;Concordo;Não;Sim;Presencial;Presencial;Sim;Sim;Sim;Sim;Não sei informar;Sim;Sim;Concordo;Não sei informar;Não sei informar;Não;;2022/05/28 2:01:10 PM GMT-3
Pessoa28;Concordo;Sim;Sim;Híbrido (Combinação entre teletrabalho e presencial);Híbrido (Combinação entre teletrabalho e presencial);Sim;Sim;Não sei informar;Sim;Sim  após a pandemia adotou-se a prática de QF remotas.;Sim;Não sei informar;Concordo totalmente;Sim  no entanto já adotava antes da pandemia;Sim  no entanto já adotava antes da pandemia;Sim  no entanto já adotava antes da pandemia;"Redução do tempo de deslocamento e diminuição de riscos nesse trajeto;Acompanhamento da tendência de mercado para estar em linha com as outras empresas;Aumento da motivação dos funcionários";2022/05/28 2:57:01 PM GMT-3
Pessoa29;Concordo totalmente;Não;Sim;Híbrido (Combinação entre teletrabalho e presencial);Híbrido (Combinação entre teletrabalho e presencial);Não;Sim;Sim;Sim;Sim  no entanto já eram realizadas QF remotamente antes da pandemia;Sim;Sim;Concordo;Sim  no entanto já adotava antes da pandemia;Sim  passou a adotar após a pandemia.;Sim  passou a adotar após a pandemia.;"Aumento de produtividade;Redução de custos básicos como energia  limpeza  manutenção do escritório  entre outros;Diminuição de custos com vale transporte  estacionamento  entre outros;Flexibilidade dos funcionários;Maior engajamento com a empresa;Benefício para o trabalhador optar por essa modalidade;Redução do tempo de deslocamento e diminuição de riscos nesse trajeto;Jornada flexível com base no equilíbrio pessoal e profissional;Acompanhamento da tendência de mercado para estar em linha com as outras empresas;Aumento da motivação dos funcionários";2022/05/28 3:02:39 PM GMT-3
Pessoa30;Concordo totalmente;Não;Sim;Híbrido (Combinação entre teletrabalho e presencial);Híbrido (Combinação entre teletrabalho e presencial);Sim;Sim;Sim;Sim;Sim  após a pandemia adotou-se a prática de QF remotas.;Sim;Sim;Concordo totalmente;Sim  passou a adotar após a pandemia.;Sim  no entanto já adotava antes da pandemia;Sim  passou a adotar após a pandemia.;"Flexibilidade dos funcionários;Maior engajamento com a empresa;Benefício para o trabalhador optar por essa modalidade;Redução do tempo de deslocamento e diminuição de riscos nesse trajeto;Retenção de colaboradores e atração de talentos;Jornada flexível com base no equilíbrio pessoal e profissional";2022/05/28 3:05:05 PM GMT-3
Pessoa31;Concordo totalmente;Não;Sim;Teletrabalho (home-Office);Teletrabalho (home-Office);Sim;Não;Sim;Sim;Sim  após a pandemia adotou-se a prática de QF remotas.;Sim;Sim;Concordo;Não;Não sei informar;Sim  passou a adotar após a pandemia.;"Aumento de produtividade;Redução de custos básicos como energia  limpeza  manutenção do escritório  entre outros;Redução de custos de aluguel do escritório  condomínio  entre outros;Flexibilidade dos funcionários;Benefício para o trabalhador optar por essa modalidade;Redução do tempo de deslocamento e diminuição de riscos nesse trajeto;Retenção de colaboradores e atração de talentos;Jornada flexível com base no equilíbrio pessoal e profissional;Acompanhamento da tendência de mercado para estar em linha com as outras empresas";2022/05/28 4:39:16 PM GMT-3
